identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status
00-219,00-0001,2018-12-18,Департамент міського господарства,219,2018-12-18,КП “Комбінат міського господарства”,32300054,Україна,Львівська область,Дрогобич,вул. 22 січня,Кладовище,49.377616,23.512936,Береза,1,1,0,04.01.2019,2018,Замовлення виконано підрядником
00-216,00-0002,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Театральна, 2",На початку вул.Лепкого,49.350778,23.508931,немає даних,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0003,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. С.Стрільців, 26",немає даних,49.352983,23.498001,Береза,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0004,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. В.Великого, 24",немає даних,49.356718,23.515964,Черешня,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0005,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Чмоли, 12",немає даних,49.357274,23.505868,Яблуня,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0006,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. П.Орлика,Поворот до ДМЦЗ,49.366375,23.514470,немає даних,1,1,0,12/29/2018,2018,Надіслано на виконання підрядником
00-216,00-0007,2018-12-14,Департамент міського господарства,216,2018-12-14,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,вул. Нижанківського,немає даних,49.354985,23.504945,немає даних,3,3,0,12/29/2018,2018,Надіслано на виконання підрядником
00-58-р,00-0008,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Н. Броварський,,Україна,Львівська область,Дрогобич,вул.Рихтицька,немає даних,49.356313,23.543293,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0009,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Л. Калапунь ,,Україна,Львівська область,Дрогобич,"вул. В.Великого, 42.",немає даних,49.355443,23.523380,Клен,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0010,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,І. Лукавський,,Україна,Львівська область,Дрогобич,вул. П.Орлика,немає даних,49.370441,23.515731,Черешня,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0011,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,А. Колодій ,,Україна,Львівська область,Дрогобич,"вул. Чапельського, 3.",немає даних,49.355915,23.536196,Черешня,3,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0012,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,А. Колодій ,,Україна,Львівська область,Дрогобич,"вул. Чапельського, 3.",немає даних,49.355743,23.536255,Алича,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0013,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Я. Баковський,,Україна,Львівська область,Дрогобич,"пров. Зелений, 5.",немає даних,49.355478,23.496537,Липа,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0014,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,ДСНС,08797297,Україна,Львівська область,Дрогобич,"вул. Тарнавського, 37",немає даних,49.354031,23.494960,Яина,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0015,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,ДСНС,08797297,Україна,Львівська область,Дрогобич,"вул. Тарнавського, 37",немає даних,23.494858,49.353958,Береза,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0016,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,Відділу освіти ,02144660,Україна,Львівська область,Дрогобич,"вул. Самбірська, 70",немає даних,49.364740,23.494799,Верба,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0017,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Г.Брама, 148",немає даних,49.347116,23.480256,Вишня,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0018,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Коновальця, 7/2",немає даних,49.359880,23.531910,Верба,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0019,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Самбірська, 102",немає даних,49.363650,23.493710,Верба,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0020,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Нижанківського, 5",немає даних,49.354776,23.504814,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0021,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. В.Великого, 15",немає даних,49.357173,23.531818,Верба,2,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0022,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Стрийська, 179",немає даних,49.351903,23.527929,Верба,5,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0023,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Млинарська, 2",немає даних,49.351337,23.529244,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0024,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Грушевського, 10",немає даних,49.353853,23.514524,Ясень,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0025,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Міцкевича, 11",немає даних,49.351494,23.501531,Алича,3,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0026,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Симоненка, 21-23",немає даних,49.356432,23.557943,Тополя,5,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0027,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Трускавецька, 79",немає даних,49.327649,23.515103,Дуб,6,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0028,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Тарнавського, 14",немає даних,49.353832,23.496145,Горіх,1,,,,,Дозволено розпорядженням міського голови
00-58-р,00-0029,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська область,Дрогобич,"вул. Кн. Ольги, 4.",немає даних,49.355747,23.514958,Дуб,1,,,,,Дозволено розпорядженням міського голови
